GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT ALLOCATED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT ALLOCATED - Nonfamily income in the past 12 months
1400000US53063000200,53063000200,"Census Tract 2, Spokane County, Washington",1851,108,1099,117,597,118,752,120,13.1,3.8,13.5,6.4,5.4,3.3,18.6,7.8,11.7,4.6,7.6,4.5,2.5,3.0,17.7,8.8,15.0,4.7,9.6,5.3,8.7,7.3,21.9,7.9,10.8,4.5,14.7,6.6,8.0,7.3,10.9,6.9,17.9,6.0,13.6,7.4,17.3,10.7,16.4,7.3,17.8,5.1,22.3,7.8,32.8,13.6,10.9,7.5,6.8,3.2,10.7,5.2,14.7,7.7,0.0,4.2,4.8,3.1,5.3,3.5,7.9,5.6,3.6,5.8,0.8,0.9,1.4,1.5,1.3,2.2,0.0,4.2,1.5,1.5,1.5,1.6,1.3,2.0,0.0,4.2,34087,5757,39803,10151,56250,11202,21700,4509,43253,4716,48467,6236,N,N,29387,7221,31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.9,(X)
1400000US53063000300,53063000300,"Census Tract 3, Spokane County, Washington",1953,160,1169,174,732,178,784,173,8.1,4.4,9.2,6.1,0.0,4.3,6.6,5.2,8.1,5.5,11.9,10.4,10.1,12.9,10.8,7.9,16.2,6.3,10.1,6.6,7.8,7.7,19.8,8.4,22.4,8.1,17.4,10.1,22.3,12.8,29.8,13.9,22.1,7.3,28.1,11.9,30.5,14.7,12.0,7.8,16.8,5.9,16.5,7.0,18.4,9.1,19.0,10.9,2.3,2.2,2.5,3.1,4.0,4.7,1.9,3.1,4.0,2.9,4.4,3.8,7.0,6.2,0.0,4.1,0.0,1.6,0.0,2.7,0.0,4.3,0.0,4.1,0.0,1.6,0.0,2.7,0.0,4.3,0.0,4.1,33031,4129,35951,5858,39012,7955,29315,3607,37078,3741,37858,4819,N,N,32488,4952,26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),17.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40.1,(X)
1400000US53063000400,53063000400,"Census Tract 4, Spokane County, Washington",1697,117,906,121,513,126,791,121,7.5,3.5,8.9,7.1,5.3,7.9,11.8,5.4,6.8,4.0,3.9,3.6,1.9,3.1,10.1,7.0,17.6,5.4,11.5,6.1,4.5,4.5,23.1,9.7,17.1,6.8,17.4,8.9,17.0,10.8,18.5,9.7,15.4,6.3,13.0,6.6,12.9,8.4,19.1,10.3,19.1,5.3,23.0,7.0,26.5,10.6,7.6,5.3,9.9,4.2,11.3,5.5,16.0,8.7,8.3,6.9,5.5,4.4,9.1,8.0,16.0,12.4,1.5,2.6,0.0,1.9,0.0,3.5,0.0,6.1,0.0,4.0,1.1,1.8,2.0,3.3,0.0,6.1,0.0,4.0,35655,5604,46429,11278,52219,7639,27351,5819,53885,19354,69714,35266,N,N,32223,5027,29.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.4,(X)
1400000US53063000500,53063000500,"Census Tract 5, Spokane County, Washington",1474,84,729,124,453,97,745,126,7.4,4.0,4.0,4.5,0.0,6.9,10.7,6.4,2.6,2.1,7.1,7.1,0.0,6.9,5.2,4.2,8.4,3.7,8.2,5.2,10.4,7.2,8.6,5.5,19.3,6.9,20.0,10.4,10.8,9.6,19.5,7.6,17.4,5.4,17.6,6.8,18.1,9.3,18.5,8.6,25.4,7.4,24.8,11.4,33.6,14.0,21.1,10.5,14.1,6.4,8.2,5.3,13.2,8.1,15.4,10.0,5.4,3.8,10.0,7.0,13.9,10.3,0.9,1.8,0.0,2.2,0.0,4.4,0.0,6.9,0.0,4.3,0.0,2.2,0.0,4.4,0.0,6.9,0.0,4.3,45725,5067,45719,8095,57891,17413,37225,8958,48946,4401,51053,7910,N,N,41711,4789,28.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.6,(X)
1400000US53063000600,53063000600,"Census Tract 6, Spokane County, Washington",1252,58,766,91,539,85,486,96,1.9,2.3,2.3,3.4,3.3,4.7,1.2,2.3,8.8,5.0,4.6,5.4,0.0,5.8,15.4,10.7,3.7,2.5,9.9,7.3,0.0,5.8,4.1,4.7,10.4,4.4,11.2,5.4,12.4,7.2,7.6,5.9,16.2,4.7,15.8,7.0,13.7,8.7,16.9,7.8,34.2,8.9,35.5,9.9,43.6,12.9,28.0,14.7,14.1,6.2,10.2,5.5,13.5,7.7,15.4,11.9,8.2,3.9,10.4,5.2,13.4,7.0,6.2,5.9,2.6,3.2,0.0,4.2,0.0,5.8,5.1,7.7,0.0,2.6,0.0,4.2,0.0,5.8,0.0,6.5,54259,4488,54167,4933,61950,7546,51643,8106,57855,5273,55541,5450,N,N,56672,11254,24.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),17.1,(X)
1400000US53063000700,53063000700,"Census Tract 7, Spokane County, Washington",2047,152,1252,164,692,140,795,165,6.9,4.5,7.8,5.1,1.9,2.9,11.1,10.2,3.2,2.5,0.0,2.6,0.0,4.6,8.3,6.2,12.3,4.8,10.3,6.8,9.4,10.5,15.5,8.3,17.7,7.6,18.1,11.1,17.2,15.6,17.2,12.8,28.4,6.3,26.6,9.0,24.7,11.0,29.3,10.9,13.8,5.6,13.3,6.1,17.8,9.8,12.3,9.3,9.3,4.8,12.4,7.1,16.3,10.7,6.3,6.4,4.5,3.5,5.4,5.3,7.4,7.5,0.0,4.0,0.9,1.4,3.2,3.5,0.0,4.6,0.0,4.0,2.9,2.1,3.0,3.4,5.3,6.2,0.0,4.0,39716,4629,43026,8351,48472,19242,29938,12535,50692,8556,57627,12931,N,N,34593,5885,30.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.0,(X)
1400000US53063000800,53063000800,"Census Tract 8, Spokane County, Washington",1839,87,1343,85,1140,91,496,91,3.2,1.8,2.5,2.2,3.0,2.6,4.8,3.7,3.2,2.1,1.6,1.8,1.8,2.1,7.7,5.5,10.1,3.2,5.4,3.4,3.8,2.6,26.2,9.8,4.5,2.0,3.6,2.1,1.1,1.7,10.7,5.7,11.9,3.6,11.8,4.5,8.9,3.7,15.3,7.9,25.1,5.2,26.3,6.5,28.9,7.7,17.9,9.1,13.9,4.5,14.2,4.9,14.5,5.2,9.5,7.9,21.2,5.7,26.6,7.5,28.8,8.2,7.9,6.5,4.4,2.2,5.3,3.0,6.2,3.6,0.0,6.3,2.7,1.8,2.6,2.0,3.1,2.4,0.0,6.3,65268,4670,72125,10950,79141,10480,35221,10240,75448,5654,83765,7017,N,N,43090,7670,28.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X)
1400000US53063000900,53063000900,"Census Tract 9, Spokane County, Washington",2463,125,1687,173,1044,180,776,176,5.6,4.9,5.5,5.5,2.1,3.3,8.2,9.8,2.8,2.6,2.1,2.7,0.0,3.1,4.1,4.9,8.8,4.2,3.9,4.5,4.6,6.6,17.3,8.3,11.9,4.4,11.3,5.7,6.3,4.9,13.4,8.5,8.8,3.7,5.2,3.5,8.4,5.8,16.6,8.8,29.0,7.9,32.8,10.0,28.4,11.4,20.6,12.1,22.5,6.2,26.3,8.1,31.7,9.8,16.6,10.8,6.2,2.9,7.9,4.2,10.4,6.0,0.0,4.1,4.4,2.3,5.0,2.6,8.0,4.5,3.1,4.8,0.0,1.3,0.0,1.9,0.0,3.1,0.0,4.1,57711,5533,62018,9110,77611,17141,40455,9323,60482,4949,66230,5583,N,N,47023,8928,32.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.9,(X)
1400000US53063001000,53063001000,"Census Tract 10, Spokane County, Washington",2358,127,1655,202,1240,188,703,162,5.9,4.1,5.4,5.2,3.1,4.6,7.0,6.5,1.2,1.4,0.0,1.9,0.0,2.6,4.0,4.8,7.5,3.8,6.0,4.6,6.4,5.7,13.9,9.4,15.6,6.3,13.8,8.0,7.0,5.9,20.1,9.7,9.7,4.5,9.8,5.7,10.7,7.3,9.4,7.5,22.3,7.1,24.7,8.5,25.5,9.2,17.1,9.7,13.2,4.6,13.4,5.4,16.9,7.2,9.7,7.6,18.2,5.6,20.8,7.1,22.2,8.8,11.9,10.4,3.1,2.1,3.3,2.9,4.4,3.8,2.6,3.9,3.4,2.5,2.9,2.9,3.9,3.8,4.4,6.5,60750,11268,66574,10317,72571,11523,41182,22030,79857,16792,75220,9454,N,N,88249,52577,27.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.2,(X)
