1400000US53063011300,53063011300,"Census Tract 113, Spokane County, Washington",3138,2908,2725
1400000US53063011400,53063011400,"Census Tract 114, Spokane County, Washington",2356,2136,2130
1400000US53063011500,53063011500,"Census Tract 115, Spokane County, Washington",582,589,642
1400000US53063011600,53063011600,"Census Tract 116, Spokane County, Washington",728,753,754
1400000US53063011701,53063011701,"Census Tract 117.01, Spokane County, Washington",1024,998,1052
1400000US53063011702,53063011702,"Census Tract 117.02, Spokane County, Washington",2737,2463,2413
1400000US53063011800,53063011800,"Census Tract 118, Spokane County, Washington",2452,2254,2411
1400000US53063011900,53063011900,"Census Tract 119, Spokane County, Washington",1757,1741,1658
1400000US53063012000,53063012000,"Census Tract 120, Spokane County, Washington",1806,1791,1754
1400000US53063012100,53063012100,"Census Tract 121, Spokane County, Washington",1132,1129,1064
1400000US53063012200,53063012200,"Census Tract 122, Spokane County, Washington",974,981,964
1400000US53063012300,53063012300,"Census Tract 123, Spokane County, Washington",2532,2318,2471
1400000US53063012401,53063012401,"Census Tract 124.01, Spokane County, Washington",1665,1610,1687
1400000US53063012402,53063012402,"Census Tract 124.02, Spokane County, Washington",2384,2236,2206
1400000US53063012500,53063012500,"Census Tract 125, Spokane County, Washington",1566,1502,1253
1400000US53063012600,53063012600,"Census Tract 126, Spokane County, Washington",1582,1553,1616
1400000US53063012701,53063012701,"Census Tract 127.01, Spokane County, Washington",1772,1607,1642
1400000US53063012702,53063012702,"Census Tract 127.02, Spokane County, Washington",898,798,818
1400000US53063012801,53063012801,"Census Tract 128.01, Spokane County, Washington",1612,1542,1573
1400000US53063012802,53063012802,"Census Tract 128.02, Spokane County, Washington",1257,1275,1309
1400000US53063012901,53063012901,"Census Tract 129.01, Spokane County, Washington",1309,1197,1199
1400000US53063012902,53063012902,"Census Tract 129.02, Spokane County, Washington",2736,2497,2509
1400000US53063013000,53063013000,"Census Tract 130, Spokane County, Washington",3631,2717,2746
1400000US53063013100,53063013100,"Census Tract 131, Spokane County, Washington",4385,3878,3639
1400000US53063013201,53063013201,"Census Tract 132.01, Spokane County, Washington",2684,2828,2572
1400000US53063013202,53063013202,"Census Tract 132.02, Spokane County, Washington",4078,3521,3330
1400000US53063013300,53063013300,"Census Tract 133, Spokane County, Washington",1118,960,874
1400000US53063013401,53063013401,"Census Tract 134.01, Spokane County, Washington",1849,1740,1712
1400000US53063013500,53063013500,"Census Tract 135, Spokane County, Washington",3229,3083,2664
1400000US53063013600,53063013600,"Census Tract 136, Spokane County, Washington",1887,1692,1401
1400000US53063013700,53063013700,"Census Tract 137, Spokane County, Washington",1306,1503,1109
1400000US53063013800,53063013800,"Census Tract 138, Spokane County, Washington",733,757,793
1400000US53063013900,53063013900,"Census Tract 139, Spokane County, Washington",2262,1869,1842
1400000US53063014001,53063014001,"Census Tract 140.01, Spokane County, Washington",1630,1837,1796
1400000US53063014002,53063014002,"Census Tract 140.02, Spokane County, Washington",2246,1945,1911
1400000US53063014100,53063014100,"Census Tract 141, Spokane County, Washington",2279,2163,1723
1400000US53063014200,53063014200,"Census Tract 142, Spokane County, Washington",1413,1235,1143
1400000US53063014300,53063014300,"Census Tract 143, Spokane County, Washington",1167,1184,1157
1400000US53063014400,53063014400,"Census Tract 144, Spokane County, Washington",1713,1752,1762
1400000US53063014500,53063014500,"Census Tract 145, Spokane County, Washington",862,772,863
