GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US53063000200,53063000200,"Census Tract 2, Spokane County, Washington",1993,79,1223,135,830,131,770,123,10.9,4.2,5.9,5.7,0.0,4.1,26.5,10.6,8.6,4.3,7.9,4.9,3.5,3.2,11.2,7.8,24.1,6.6,15.9,7.8,9.0,8.8,32.1,11.2,12.0,5.1,14.8,6.9,18.1,9.5,9.4,7.4,22.1,5.9,23.9,7.9,26.5,8.6,16.2,9.4,15.7,4.5,20.9,6.8,28.4,9.1,4.7,4.0,5.0,3.1,8.1,5.0,10.6,7.0,0.0,4.4,1.0,1.1,1.6,1.8,2.3,2.6,0.0,4.4,0.7,1.1,1.1,1.7,1.6,2.6,0.0,4.4,0.0,1.7,0.0,2.8,0.0,4.1,0.0,4.4,29886,7466,36854,5168,44043,2977,19632,3895,35929,3338,42493,4631,N,N,22274,3915,22.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),16.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.2,(X)
1400000US53063000300,53063000300,"Census Tract 3, Spokane County, Washington",1961,150,1408,143,774,143,553,152,4.7,3.3,4.0,3.1,0.0,4.4,9.0,8.3,3.7,2.8,2.2,2.5,4.0,4.4,5.2,5.5,17.9,7.1,18.2,7.9,9.6,7.9,21.3,14.6,22.1,7.6,22.9,8.5,17.1,10.0,25.7,12.8,20.6,5.2,15.9,5.9,18.9,9.2,26.4,12.1,18.7,7.2,21.7,9.7,37.3,14.5,7.2,6.6,8.1,3.9,9.3,4.6,6.2,5.4,5.1,6.2,4.2,3.2,5.9,4.5,7.0,6.8,0.0,6.1,0.0,1.8,0.0,2.5,0.0,4.4,0.0,6.1,0.0,1.8,0.0,2.5,0.0,4.4,0.0,6.1,35847,4158,36598,6749,50526,11877,30863,4620,42522,3678,45253,4786,N,N,32733,5530,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),18.4,(X)
1400000US53063000400,53063000400,"Census Tract 4, Spokane County, Washington",1738,111,981,119,584,99,757,149,17.5,5.9,17.8,8.8,4.6,6.8,18.9,8.4,5.0,2.9,3.3,3.0,0.0,5.8,7.3,5.3,19.7,5.9,11.1,5.6,7.5,5.3,29.2,11.1,20.1,5.4,21.5,6.9,22.6,9.3,19.6,8.9,15.3,5.1,17.2,7.1,19.5,9.2,14.0,8.1,15.5,5.3,20.2,7.7,30.8,12.1,8.2,7.3,4.0,2.5,7.0,5.0,11.8,8.4,2.9,3.3,2.8,2.5,1.8,2.1,3.1,3.5,0.0,4.5,0.0,2.0,0.0,3.5,0.0,5.8,0.0,4.5,0.0,2.0,0.0,3.5,0.0,5.8,0.0,4.5,29554,3050,33245,3914,45526,13406,22589,5160,33802,3409,37130,4821,N,N,27375,4990,21.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),21.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.1,(X)
1400000US53063000500,53063000500,"Census Tract 5, Spokane County, Washington",1496,75,831,118,522,94,665,122,7.2,4.9,1.0,1.9,0.0,6.5,15.0,10.4,8.4,5.1,4.9,4.5,5.6,5.2,14.6,9.9,8.0,4.0,3.0,3.5,0.0,6.5,15.6,8.0,16.6,5.8,15.4,9.4,0.0,6.5,18.3,8.0,14.6,4.7,20.5,7.7,28.9,10.5,10.7,6.1,28.3,6.8,35.6,9.4,41.4,10.7,12.3,7.5,5.9,2.9,9.4,5.2,12.3,7.7,1.5,2.4,9.0,5.3,7.9,5.9,8.2,6.5,10.4,9.8,0.0,2.3,0.0,4.1,0.0,6.5,0.0,5.1,1.9,1.8,2.3,2.6,3.6,4.2,1.5,2.4,44125,9906,51077,2593,55455,5198,26125,3397,52161,7221,58941,8471,N,N,40909,12666,15.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),9.5,(X)
1400000US53063000600,53063000600,"Census Tract 6, Spokane County, Washington",1147,94,639,94,465,96,508,104,4.1,2.8,0.0,5.3,0.0,7.2,9.3,6.5,3.1,2.9,1.3,2.2,1.7,3.0,5.3,5.9,18.6,7.5,13.3,6.7,6.0,4.8,25.2,13.8,11.4,5.4,7.4,5.5,10.1,7.5,16.5,10.0,26.2,8.3,29.6,9.3,24.3,10.7,25.4,13.7,24.5,7.0,32.9,10.3,37.8,12.6,10.6,7.6,10.0,5.5,11.9,6.9,14.8,8.9,7.7,7.3,1.0,1.1,1.9,2.0,2.6,2.8,0.0,6.7,0.0,3.0,0.0,5.3,0.0,7.2,0.0,6.7,1.0,1.6,1.9,2.8,2.6,3.9,0.0,6.7,41981,3127,49181,5279,53792,4987,31750,8075,46555,4345,54526,6704,N,N,35686,5435,18.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),11.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.6,(X)
1400000US53063000700,53063000700,"Census Tract 7, Spokane County, Washington",2046,120,1339,129,962,166,707,135,3.0,2.5,2.1,2.6,0.0,3.6,6.2,5.7,2.9,2.1,1.3,1.9,1.8,2.6,6.1,5.4,16.1,5.2,4.5,3.4,5.0,4.4,36.8,12.1,13.0,4.7,11.6,5.6,8.7,5.7,18.0,8.5,23.1,6.9,29.3,10.2,27.8,11.2,14.3,7.7,23.6,6.2,29.4,8.4,30.9,10.9,7.4,5.8,11.7,4.8,13.1,6.8,13.5,7.0,9.2,6.7,6.5,4.3,8.9,6.4,12.4,8.6,2.1,3.5,0.0,1.7,0.0,2.6,0.0,3.6,0.0,4.8,0.0,1.7,0.0,2.6,0.0,3.6,0.0,4.8,43990,2928,50875,7287,56714,8564,25285,3774,49909,4764,57127,6564,N,N,33612,5760,24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.7,(X)
1400000US53063000800,53063000800,"Census Tract 8, Spokane County, Washington",1931,73,1388,103,1229,115,543,116,1.9,1.6,1.3,1.5,1.5,1.6,3.5,4.0,4.4,2.7,1.5,1.9,1.7,2.1,11.8,8.0,6.9,3.4,5.3,4.2,2.8,3.8,13.8,7.7,15.8,5.8,10.2,6.0,8.8,5.9,30.2,10.3,12.9,4.5,13.4,4.9,13.6,5.1,10.7,7.5,15.9,3.9,19.3,5.5,19.6,5.3,8.7,5.5,18.6,6.2,19.7,6.6,21.2,7.3,15.8,11.8,18.1,4.2,21.8,5.1,22.3,5.7,5.5,4.8,3.3,2.1,4.6,2.9,5.2,3.3,0.0,6.2,2.1,1.8,2.9,2.6,3.3,2.9,0.0,6.2,59675,10797,74407,7416,76094,8573,31283,4033,70347,5291,80317,6554,N,N,42686,7423,19.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),16.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.5,(X)
1400000US53063000900,53063000900,"Census Tract 9, Spokane County, Washington",2403,93,1798,141,1343,168,605,145,3.3,2.4,4.4,3.5,1.2,2.0,8.1,7.0,4.6,3.4,4.7,4.3,2.3,2.6,4.3,4.8,10.7,4.6,5.1,3.9,2.1,2.4,24.8,12.4,12.7,5.0,12.8,6.7,12.6,6.9,19.8,8.8,19.6,5.2,20.3,6.2,21.4,7.3,16.9,9.7,24.6,6.5,25.7,7.5,27.5,9.0,9.1,7.3,19.2,5.9,19.9,7.1,23.4,8.9,17.0,9.6,4.0,2.6,5.3,3.4,7.1,4.5,0.0,5.6,0.0,1.4,0.0,1.9,0.0,2.6,0.0,5.6,1.4,1.6,1.9,2.1,2.5,2.8,0.0,5.6,49587,6423,52577,7697,61585,12768,28915,8172,55478,4915,58569,6036,N,N,39412,6543,23.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.3,(X)
1400000US53063001000,53063001000,"Census Tract 10, Spokane County, Washington",2334,115,1379,116,1054,147,955,129,2.4,1.9,3.7,3.4,1.1,1.7,4.6,4.4,3.4,2.1,0.8,1.2,0.0,3.3,5.7,4.1,7.6,3.1,6.0,3.7,3.6,2.7,13.0,6.3,16.0,4.9,7.1,4.0,6.5,4.3,27.6,10.0,13.7,4.5,19.7,7.1,17.6,7.1,9.4,5.4,35.1,6.3,36.7,9.3,38.7,10.1,29.9,9.6,13.6,5.1,16.8,7.9,20.4,9.6,2.9,3.5,7.2,3.1,8.3,4.4,10.8,5.5,5.8,5.1,1.0,1.1,0.9,1.5,1.2,2.0,1.0,1.6,0.0,1.5,0.0,2.5,0.0,3.3,0.0,3.6,55849,5602,61144,5932,68382,4853,34812,6017,56390,3077,60055,4419,N,N,45896,5881,14.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),13.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),14.7,(X)
